dia,S,I,R,D,R_eff
257,954466,3232,38533,3769,1.0183
258,954106,3244,38852,3798,1.0037
259,953736,3283,39160,3821,1.0120
260,953372,3293,39487,3848,1.0030
261,953048,3249,39820,3883,0.9866
262,952700,3219,40151,3930,0.9908
263,952320,3262,40450,3968,1.0134
264,951947,3299,40765,3989,1.0113
265,951581,3282,41116,4021,0.9948
266,951218,3295,41432,4055,1.0040
267,950821,3332,41753,4094,1.0112
268,950439,3356,42086,4119,1.0072
269,950056,3387,42405,4152,1.0092
270,949685,3408,42721,4186,1.0062
271,949284,3417,43073,4226,1.0026
272,948906,3404,43431,4259,0.9962
273,948533,3384,43778,4305,0.9941
274,948132,3416,44116,4336,1.0095
275,947750,3416,44462,4372,1.0000
276,947359,3420,44815,4406,1.0012
277,946975,3459,45127,4439,1.0114
278,946597,3452,45470,4481,0.9980
279,946177,3485,45820,4518,1.0096
280,945792,3498,46152,4558,1.0037
281,945390,3496,46521,4593,0.9994
282,944991,3493,46877,4639,0.9991
283,944610,3475,47249,4666,0.9948
284,944241,3456,47607,4696,0.9945
285,943846,3463,47959,4732,1.0020
286,943425,3529,48282,4764,1.0191
287,943013,3556,48637,4794,1.0077
288,942592,3558,49013,4837,1.0006
289,942218,3542,49369,4871,0.9955
290,941803,3580,49711,4906,1.0107
291,941416,3572,50063,4949,0.9978
292,940990,3609,50411,4990,1.0104
293,940573,3623,50775,5029,1.0039
294,940132,3696,51098,5074,1.0201
295,939715,3747,51433,5105,1.0138
296,939299,3755,51811,5135,1.0021
297,938869,3759,52198,5174,1.0011
298,938463,3793,52537,5207,1.0090
299,938034,3831,52889,5246,1.0100
300,937606,3822,53291,5281,0.9977
301,937164,3834,53681,5321,1.0031
302,936736,3818,54077,5369,0.9958
303,936299,3835,54461,5405,1.0045
304,935886,3817,54859,5438,0.9953
305,935426,3876,55220,5478,1.0155
306,935019,3862,55602,5517,0.9964
307,934597,3849,55985,5569,0.9966
308,934152,3879,56364,5605,1.0078
309,933686,3943,56735,5636,1.0165
310,933218,3956,57155,5671,1.0033
311,932794,3957,57544,5705,1.0003
312,932315,3989,57941,5755,1.0081
313,931863,4010,58337,5790,1.0053
314,931396,4032,58748,5824,1.0055
315,930957,4032,59140,5871,1.0000
316,930511,4079,59501,5909,1.0117
317,930027,4136,59888,5949,1.0140
318,929537,4194,60282,5987,1.0140
319,929044,4226,60698,6032,1.0076
